STATION_ID,STATION_NAME,LAT,LON,CAPACITY,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,OCCUPATION_RATIO,TOTAL_CAPACITY,RATIO
315,"C/ DEL GUINARDÓ, 32-38",41.4156285,2.1817876,27,7,20,0.2593,27,0.2593
316,"C/ CANTÀBRIA, 55",41.4224015,2.1980710,26,6,19,0.2308,26,0.2308
317,"RAMBLA DE PRIM, 256",41.4256626,2.2008632,15,10,14,0.6667,15,0.6667
318,"C/ CASTILLEJOS, 388",41.4124270,2.1705920,32,0,30,0.0000,32,0.0000
319,"C/ SAGUÉS, 1",41.3937414,2.1455022,31,0,29,0.0000,31,0.0000
320,"C/ MADRAZO, 39",41.4003050,2.1491440,27,2,23,0.0741,27,0.0741
321,"C/ SANT HERMENEGILD, 30",41.4031529,2.1445843,27,8,16,0.2963,27,0.2963
322,"C/ SANTALÓ, 165",41.4009000,2.1389200,24,1,22,0.0417,24,0.0417
323,"C/ VALLMAJOR, 13",41.3981616,2.1386719,27,1,24,0.0370,27,0.0370
324,"C/ REINA VICTORIA, 31",41.3969455,2.1363460,27,0,26,0.0000,27,0.0000
325,"C/ ALT DE GIRONELLA, 13",41.3949601,2.1302775,23,14,9,0.6087,23,0.6087
326,"C/ BALMES, 409",41.4074131,2.1381069,32,1,31,0.0313,32,0.0313
327,"C/ REUS, 23",41.4050074,2.1346030,24,5,18,0.2083,24,0.2083
328,"C/ ARTESA DE SEGRE, 2",41.4029880,2.1344691,27,3,23,0.1111,27,0.1111
329,"C/ DE LES ESCOLES PIES, 99",41.4029965,2.1283866,27,2,24,0.0741,27,0.0741
330,"C/ PAU ALCOVER, 94",41.4018830,2.1315240,27,3,22,0.1111,27,0.1111
331,"C/ CASTELLNOU, 65",41.3970497,2.1279409,31,6,25,0.1935,31,0.1935
332,"C/ DOCTOR ROUX, 86",41.3998981,2.1281922,27,3,24,0.1111,27,0.1111
333,"PASSATGE DE SENILLOSA, 3-5",41.3954723,2.1250451,27,4,23,0.1481,27,0.1481
334,"PG. BONANOVA, 100",41.4007930,2.1228890,26,1,23,0.0385,26,0.0385
335,"C/ SANTA AMÈLIA, 2",41.3935355,2.1231228,27,0,25,0.0000,27,0.0000
336,"C/ CAPONATA, 20",41.3953855,2.1210928,25,2,25,0.0800,25,0.0800
337,"C/ CARME KARR, 12-14",41.3986238,2.1204941,23,2,20,0.0870,23,0.0870
338,"AV. JOSEP VICENÇ FOIX, 63",41.3977227,2.1194557,36,8,28,0.2222,36,0.2222
339,"C/ RAMON TURRÓ, 246",41.4017084,2.2053803,27,26,0,0.9630,27,0.9630
340,"C/ SANT ADRIÀ, 113",41.4361782,2.2047037,24,18,6,0.7500,24,0.7500
341,"PG. D'ENRIC SANCHIS, 33",41.4339212,2.2062245,27,22,5,0.8148,27,0.8148
342,"C/ ROC BORONAT, 134",41.4034967,2.1936584,31,26,2,0.8387,31,0.8387
343,CAMPANA DE LA MAQUINISTA (SAO PAULO I P,41.4389609,2.1996179,27,17,8,0.6296,27,0.6296
344,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.4431441,2.1996045,27,15,12,0.5556,27,0.5556
345,PL. TERESA DE CLARAMUNT/C/ DELS FERROCA,41.3631066,2.1398322,32,19,13,0.5938,32,0.5938
346,"PG. ZONA FRANCA, 182",41.3607980,2.1389310,36,2,32,0.0556,36,0.0556
347,"C/ ALTS FORNS, 77",41.3595484,2.1417765,32,9,21,0.2813,32,0.2813
348,JARDINS DE CAN FERRERO/PG.DE LA ZONA FR,41.3570670,2.1415630,33,11,22,0.3333,33,0.3333
349,"C/ DE L'ENERGIA, 2 / ALTS FORNS",41.3573288,2.1371996,32,7,26,0.2188,32,0.2188
